BIB  B IH B
BITCH  B IH CH
BID  B IH D
BIFF  B IH F
BIG  B IH G
BIC  B IH K
BIP  B IH P
BIS  B IH S
BISCH  B IH SH
BIT  B IH T
BIZ  B IH Z
BEACH  B IY CH
BEAD  B IY D
BEEF  B IY F
BAEK  B IY K
BEEP  B IY P
BEAT  B IY T
BIEV  B IY V
BEAS  B IY Z
CHICK  CH IH K
CHIP  CH IH P
CHIT  CH IH T
CZYZ  CH IH Z
CHEECH  CH IY CH
CHIEF  CH IY F
CHEEK  CH IY K
CHEAP  CH IY P
CHEAT  CH IY T
CHEESE  CH IY Z
DIBB  D IH B
DITCH  D IH CH
DID  D IH D
DIF  D IH F
DIG  D IH G
DIC  D IH K
DIP  D IH P
DIS  D IH S
DISCH  D IH SH
DITH  D IH TH
DEEB  D IY B
DIETSCH  D IY CH
DEDE  D IY D
DEEG  D IY G
DEAK  D IY K
DEEP  D IY P
DEASE  D IY S
DEET  D IY T
DEAS  D IY Z
THIS  DH IH S
THESE  DH IY Z
FITCH  F IH CH
FIG  F IH G
FICK  F IH K
FIS  F IH S
FISCH  F IH SH
FIT  F IH T
FITHE  F IH TH
FIZZ  F IH Z
FEDE  F IY D
FIEF  F IY F
FEIG  F IY G
FEIGE  F IY JH
FEICK  F IY K
FEAT  F IY T
FAETH  F IY TH
FEES  F IY Z
GIB  G IH B
GIFF  G IH F
GIG  G IH G
GIVE  G IH V
GAEDE  G IY D
GEAC  G IY K
GEESE  G IY S
GAETH  G IY TH
GIES  G IY Z
HITCH  HH IH CH
HID  HH IH D
HICK  HH IH K
HIP  HH IH P
HISS  HH IH S
HIT  HH IH T
HIS  HH IH Z
HEBE  HH IY B
HEED  HH IY D
HEEG  HH IY G
HEGE  HH IY JH
HEEKE  HH IY K
HEAP  HH IY P
HAESE  HH IY S
HEESCH  HH IY SH
HEAT  HH IY T
HEATH  HH IY TH
HEAVE  HH IY V
HEES  HH IY Z
GIBB  JH IH B
JIF  JH IH F
JIG  JH IH G
GICK  JH IH K
GIPP  JH IH P
GISH  JH IH SH
GIECK  JH IY K
JEEP  JH IY P
GEES  JH IY S
GEEZ  JH IY Z
KIBBE  K IH B
KITCH  K IH CH
KID  K IH D
KIFF  K IH F
KICK  K IH K
KIP  K IH P
KIS  K IH S
KISCH  K IH SH
KIT  K IH T
KEACH  K IY CH
KEYED  K IY D
KEEF  K IY F
KEEP  K IY P
KIESS  K IY S
QUICHE  K IY SH
KEITT  K IY T
KEATH  K IY TH
KEAS  K IY Z
LIB  L IH B
LICH  L IH CH
LID  L IH D
LIFF  L IH F
LICK  L IH K
LIP  L IH P
LIS  L IH S
LISH  L IH SH
LIT  L IH T
LIV  L IH V
LIZ  L IH Z
LEEB  L IY B
LEACH  L IY CH
LEED  L IY D
LEAF  L IY F
LEAGUE  L IY G
LEGE  L IY JH
LEAK  L IY K
LEAP  L IY P
LEASE  L IY S
LEASH  L IY SH
LEET  L IY T
LEATH  L IY TH
LEAVE  L IY V
LEAS  L IY Z
MIB  M IH B
MICH  M IH CH
MID  M IH D
MIG  M IH G
MIDGE  M IH JH
MC  M IH K
MIS  M IH S
MISCH  M IH SH
MITT  M IH T
MYTH  M IH TH
MS  M IH Z
MEECH  M IY CH
MEAD  M IY D
MEEK  M IY K
MAESE  M IY S
MEAT  M IY T
MEATH  M IY TH
MEAVE  M IY V
MEASE  M IY Z
NIB  N IH B
NICHE  N IH CH
KNIGGE  N IH G
KNICK  N IH K
KNIPP  N IH P
KNISS  N IH S
KNIT  N IH T
NEEB  N IY B
KNEAD  N IY D
KNIEF  N IY F
KNEIP  N IY P
KNEECE  N IY S
NEAT  N IY T
NAEVE  N IY V
KNEES  N IY Z
PICHE  P IH CH
PIG  P IH G
PIC  P IH K
PIP  P IH P
PISS  P IH S
PIT  P IH T
PITH  P IH TH
PEACH  P IY CH
PEED  P IY D
PIGUE  P IY G
PAEK  P IY K
PEEP  P IY P
PEACE  P IY S
PEAT  P IY T
PAETH  P IY TH
PEEVE  P IY V
PEAS  P IY Z
RIB  R IH B
RICH  R IH CH
RID  R IH D
RIFF  R IH F
RIG  R IH G
RIDGE  R IH JH
RIC  R IH K
RIP  R IH P
RISS  R IH S
RISCH  R IH SH
RITT  R IH T
WRITHE  R IH TH
RIZ  R IH Z
REEB  R IY B
REACH  R IY CH
REED  R IY D
REEF  R IY F
REEG  R IY G
RIEGE  R IY JH
REECK  R IY K
REAP  R IY P
REASE  R IY S
REITH  R IY TH
REAVE  R IY V
REAS  R IY Z
SIB  S IH B
CID  S IH D
SIG  S IH G
SIC  S IH K
SIP  S IH P
SIS  S IH S
SIT  S IH T
SCYTHE  S IH TH
SIEVE  S IH V
SEIB  S IY B
CEDE  S IY D
SEETHE  S IY DH
SEIF  S IY F
SIEG  S IY G
SEIGE  S IY JH
SEAQ  S IY K
SEEP  S IY P
CEASE  S IY S
SEAT  S IY T
SEITH  S IY TH
CEES  S IY Z
SCHIFF  SH IH F
SCHICK  SH IH K
SHIP  SH IH P
SHIT  SH IH T
SHEATHE  SH IY DH
SHEAF  SH IY F
CHIC  SH IY K
SHEEP  SH IY P
SCHIESS  SH IY S
SHEESH  SH IY SH
SHEET  SH IY T
SHEATH  SH IY TH
SCHEVE  SH IY V
TIDD  T IH D
TIFF  T IH F
TIG  T IH G
TIC  T IH K
TIP  T IH P
TISCH  T IH SH
TIT  T IH T
TIS  T IH Z
TEACH  T IY CH
TEED  T IY D
TEETHE  T IY DH
TEAGUE  T IY G
TEAC  T IY K
TEPE  T IY P
TESE  T IY S
TEAT  T IY T
TEETH  T IY TH
TEAS  T IY Z
THICK  TH IH K
THEDE  TH IY D
THIEF  TH IY F
THIES  TH IY Z
VIG  V IH G
VIC  V IH K
VIS  V IH S
WISZ  V IH SH
VITT  V IH T
VIV  V IH V
VEACH  V IY CH
VIGUE  V IY G
VEEP  V IY P
VEIT  V IY T
VAETH  V IY TH
VIVE  V IY V
VEES  V IY Z
WHICH  W IH CH
WITH  W IH DH
WHIFF  W IH F
WHIG  W IH G
WICK  W IH K
WHIP  W IH P
WIS  W IH S
WISCH  W IH SH
WHIT  W IH T
WITHE  W IH TH
WHIZ  W IH Z
WIEBE  W IY B
WEECH  W IY CH
WEED  W IY D
WEGE  W IY JH
WEAK  W IY K
WEEP  W IY P
WEISE  W IY S
WHEAT  W IY T
WEITH  W IY TH
WEAVE  W IY V
WEASE  W IY Z
YIP  Y IH P
ZICH  Z IH CH
ZIFF  Z IH F
ZIG  Z IH G
ZICK  Z IH K
ZIP  Z IH P
ZIV  Z IH V
ZEEB  Z IY B
ZIEG  Z IY G
ZEEK  Z IY K
ZEESE  Z IY Z
